Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Java/JavaScript Software Developer (AWS Preferred),,"VividCloud is immediately hiring a full-time, permanent, full-benefit, Java Software developers at all levels from JR to SR level.

We are located in Brunswick, ME and will consider remote candidates in ME, NH and MA. Candidates outside of these regions will not be considered at this time.
*We have NOT been slowed down from the recent COVID-19 virus, we are actually expanding and growing. *
*WE OFFER HEALTH INSURANCE STARTING ON YOUR FIRST DAY OF HIRE!*
*We offer very competitive wages *
VividCloud is a fast-growing software services company with a focus on helping clients digitally transform their products and businesses using the AWS cloud technology stack. Our engineering teams are 100% US-based with our first engineering center in Brunswick, ME. We focus on applications in Medical, Industrial, Consumer Devices, Automotive, and Financial industries.

Software is the engine of the 21st-century economy. We are creating nationally strategic software jobs *here,* in the US.

We are looking for key contributors for very interesting development projects involving the transformation of multiple software systems to cutting-edge cloud technologies. \*This role requires strong Java and JavaScript skills and a solid understanding of building and deploying microservices. Candidate must have been a Full Stack Developer in the past. Hands-on coding across all tiers is preferred.\*
\*No visa sponsorship is available for this job.\**
\*Responsibilities and Duties\**
\* Design and develop highly scalable production level code using Java and JavaScript

\* Implement core REST + JSON based APIs

\* Develop native AWS cloud applications

\* Participate in design discussions and ensure designs are aligned with architecture and roadmap

\* Work closely alongside other developers and QA engineers using the Agile software development lifecycle

\* Work in a dynamic, changing environment using continuous integration and a dev-ops model to rapidly develop, test, and deploy code into production

\* Research and recommend relevant technologies toward overall technical strategy
\*Qualifications and Skills\**
\* Bachelor's degree in Computer Science, Engineering, or related discipline

\* 2-8 years of professional software development experience

\* 2-4 years of in-depth development experience with Java/J2EE

\* 1-4 years performing object-oriented design and building backend applications with REST API services using Java and Node.js

\* 3+ years of solid experience with SQL and NoSQL based solutions

\* CI/CD experience

\* Experience building highly scalable, distributed, and fault-tolerant cloud-native applications

\* Ability to write clean, modular, reusable code (using design patterns) and experience with unit-test driven approach to development
\*Preferred\**
\* Hands-on experience with Amazon AWS (EC2, S3, API Gateway, ECS, Fargate, SQS, SNS, Lambda, Kinesis)

\* AWS certification

\* 3+ Java Spring Boot

\* 3+ years building single-page applications using ReactJS

\* Property and Casualty Insurance domain experience

Job Type: Full-time

Pay: $35.00 - $42.00 per hour

Benefits:
401(k)
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid time off
Professional development assistance
Vision insurance
Schedule:
Monday to Friday
Experience:
Java: 2 years (Preferred)
Location:
Brunswick, ME 04011 (Preferred)
Application Question:
What city and state do you reside in?
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
This Company Describes Its Culture as:
Outcome-oriented -- results-focused with strong performance culture
People-oriented -- supportive and fairness-focused
Team-oriented -- cooperative and collaborative
This Job Is:
Open to applicants who do not have a college diploma
Company's website:
www.vividcloud.com
Work Remotely:
Yes",5.0,"VividCloud
5.0","Brunswick, ME",,1 to 50 Employees,,Company - Public,,,Less than $1 million (USD),
JavaScript Developer,,"Real Digital Media is the provider of NEOCAST®, an enterprise-level digital signage platform for managing the efficient distribution of place-based targeted messages and branded experiences across networked displays. Designed intelligently to scale with the growing demands of the digital-out-of-home (DOOH) industry, NEOCAST® is a standards-based platform that offers certainty to marketing and advertising professionals seeking a viable long-term solution to meet the current and future demands of their digital signage deployments.

NEOCAST® has been used to establish point-of-decision marketing, promotions and corporate communication networks across the retail, healthcare and hospitality sectors.

Visit http://www.realdigitalmedia.com/ to learn more.

Real Digital Media is seeking an experienced, passionate and detail oriented teammate to design and develop customer-facing HTML applications as well as contribute to core UI development and design for our Digital Signage CMS. The position will be based in our St. Petersburg office. The ideal candidate has exposure and experience delivering intuitive solutions utilizing JavaScript, CSS, HTML, and other front-end technologies such as ReactJS, NodeJS and Bootstrap. Your Javascript and front-end development expertise will help build engaging experiences for our clients. Successful applicants are motivated to build solutions that people love to use and have a strong foundation in software engineering and web development.

Core Responsibilities

Design and develop customer-facing HTML applications as well as contribute to core UI development and design for our Digital Signage CMS
Build intuitive solutions via JavaScript, CSS, HTML, and other front-end technologies such as ReactJS, NodeJS and Bootstrap
Build engaging experiences for our clients via Javascript and front-end development experience

Basic Qualifications

Bachelors Degree or better in Computer Science or related field, or equivalent experience
One to four years experience with a high-level structured programming language including one year of hands-on design and development of enterprise type applications
Proven results and history of solution delivery working with HTML, JavaScript, CSS.
Knowledge of professional software engineering practices including software development standards, revision control (git), build processes, testing and support.
A good eye for design and digital art.
Identify and mitigate HTML/JS/CSS performance issues when deploying HTML applications to resource-constrained devices/environments
Experience with ReactJS, NodeJS, jQuery, Bootstrap.
Solid understanding of web technologies, responsive design and alignment with the latest trends and best practices.
Solid understanding of web services and web technologies (e.g. HTTP, REST, JSON, XML, etc.).
Demonstrate creativity, passion and attention to detail.
Must be a self-starter and highly motivated.
Possess excellent communication, time-management and process-management skills
2-4 years additional professional software development experience preferred

STRATACACHE and its family of companies provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, genetic information, pregnancy, childbirth or related medical condition, veteran, marital, parental, citizenship, or domestic partner status, or any other status protected by applicable national, federal, state or local law.

While we are excited and appreciate you interest in our opportunities, please keep in mind that we are not able to contact all applicants that have applied.

No vendor/agency solicitation please.",5.0,"Real Digital Media Llc
5.0","Saint Petersburg, FL",,1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),
Frontend Engineer,,"If you are a Frontend engineer with experience across a breadth of technology, this may be the position for you! This role is part of our team at great client that develops innovative technology.

We are looking for a Front End Engineer who has:

The ideal candidate will have a strong javascript, react, CSS, and performance-minded skillset
3 or more years of experience
Demonstrated competency in making interactive web experiences
A collaborative approach to problem-solving
Self-starter with a thirst for knowledge and experimentation
Preference for working with and tweaking experiences for the UI layer
Strong software product lifecycle management experience
The independence to manage, execute, and take initiative without supervision
Duties Include:
Engagement with product, design/UX, and platform engineering teams to deliver performant, consistent, and engaging features for the web application
Contribute to new features, maintenance, and bug fixing for the web with reactjs, nodejs, CSS, typescript, jest, and more
Effectively communicate issues, features, and proposed solutions to audiences with varying levels of technical knowledge
Help hire, coach, and mentor a team of engineers and/or vendors to greater excellence

ABOUT US:

We provide consulting services to ensure our clients release better software, faster. Tap|QA is one of the fastest-growing consulting firms in the country, as well as one of the largest firms focused solely on QA, Test Automation, DevOps, and Business Analysis.

At tap|QA, we are not a “body shop”, we are a high-touch consulting firm with a unique focus on Quality. We are led by a passionate group of QA professionals who are dedicated to creating an amazing culture for those in our field. We strive to be the go-to employer for QA professionals in the Twin Cities.

When you consult for tapQA you get the benefits of full-time employment with greater work variety, a better work-life balance, and a chance to develop new and exciting skills in evolving technology.

We love what we do, and we have fun while we do it! Join us!

We offer a highly competitive compensation package including an attractive hourly pay and suite of benefits including healthcare, dental insurance, and a 401K match. We also offer a remarkable opportunity to grow your skills and enhance your career!

tap|QA provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status or any other characteristic protected by federal, state or local law. In addition, tap|QA will provide reasonable accommodations for qualified individuals with disabilities.",,tap|QA,"Minneapolis, MN",,,,,,,,
Support Engineer,,"DialSource is looking for an experienced Support Engineer. This person will be responsible for processing escalated Tier 2 support requests from customers. They will be expected to be able to completely understand the customer’s problem statement and be able to record and/or reproduce the problem in a controlled environment. Following the collection of the details to troubleshoot the problem, it is expected that this candidate will be able to dive into the source code and identify the module or subsystems most likely causing the problem. This information should be collected into a bug report ticket that will be submitted to the development team for remediation. Strong communication skills and the ability to understand customer use cases is essential for this position. While it is not necessary to be able to design software architectures, It will be necessary to be able to understand complex software architectures and how components communicate to be able to help identify where the problems are occurring. Having a background in programming will be essential in being successful in this position. This is not a development position and it is not expected that the problems will be resolved by this position. Rather this is a position to assist the development team in identifying where problems are occuring. If the candidate is able to solve problems as well, that is a bonus. Qualified candidates are expected to have the following skills: • 2+ years of working experience working with customer support • Problem-solving and troubleshooting skills that include bug reproduction, log review, and problem isolation • Ability to think clearly and quickly under pressure and communicate clearly with teammates • The ability to write scripts to support operations and accelerate troubleshooting. • Self-motivated with the desire to learn, grow and proactively address issues • Ability to communicate and understand problems as described by users • An understanding of how networked communication systems work • An ability to understand complex software architectures • The ability to systematically troubleshoot a problem from front end, to back end. Extra skills that are not required but desired: • Familiarity with VoIP Protocols such as SIP and the ability to trace VoIP Calls • Asterisk / Freeswitch / OpenSIPs / Kamilio • Understanding of how IPv4 Routing works • Programming Experience using languages like Python, Go, Node, Javascript Job Type: Full-time Pay: From $45,000.00 per year Benefits: * 401(k) * Health insurance * Life insurance * Paid time off * Parental leave * Referral program Schedule: * 8 hour shift * Monday to Friday Experience: * Programming: 2 years (Required) * Asterisk/Freeswitch: 2 years (Preferred) * IPV4 Routing: 2 years (Preferred) * SIP/VoIP Troubleshootinging: 2 years (Required) * Python: 2 years (Preferred)",3.8,"Dialsource
3.8","California, MD",,1 to 50 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),
Software Developer - Web,,"Software Developer - Web
2200 S. Lakeside Drive, Waukegan, IL 60085

Develop custom solutions and enjoy a great career at Uline. Bring your extensive skillset to a place ready to employ every facet of it. Collaborate on customer-facing and internal projects among a team of dedicated fellow developers.

Better together than apart. This position is on-site, and we are looking for good people who share our passion.

Uline is proud to operate as a drug-free workplace. All new hires must complete a pre-employment drug screening.

Position Responsibilities
Apply industry best practices to design, develop, test, deploy, support and maintain complex web applications based on business requirements using approved technologies and coding standards.
Enhance and support e-commerce and mobile sites as well as sales, intranet and internal web applications.
Assist in project planning and architectural design reviews.
Mentor other developers on programming issues.
Work with development team to ensure consistency in processes and completion of deliverables.
Exhibit leadership in cross-functional development practices.
Perform design and code reviews and help maintain code quality, performance and application responsiveness.

Minimum Requirements
Bachelor's degree in information technology, computer science or related field.
5+ years web development experience.
Strong understanding of object-oriented design, web application architecture and relational database design.
Proficient in ASP.NET, MVC, C# and JavaScript with solid understanding of their ecosystem.
Experience using T-SQL with an ability to write SQL queries and stored procedures.
Client-side scripting experience with JavaScript frameworks, such as Angular and jQuery a plus.
Experience with Microsoft Visual Studio (MVS) and SQL Server Management Studio (SSMS).
Experience using Team Foundation Server (TFS) for work management a plus.
Proficient understanding of code versioning tools like Git and CI/CD tools like Jenkins.

Benefits
Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts and wellness programs.
401(k) with 5% employer match.
Paid holidays and generous paid time off.
Bonus programs include annual performance, sales goals and profit sharing.
Scholarship program for children of employees.

Employee Perks
On-site café with executive chefs and seasonal dinner-to-go options.
First class fitness center with complimentary personal trainers.
Over four miles of beautifully maintained walking trails.
Numerous employee appreciation events throughout the year.
Professional development classes and monthly in-house speakers.

About Uline

Uline is the leading distributor of shipping, industrial and packaging materials to businesses throughout North America. We're a family-owned company whose incredible service, huge inventory and quality products fuel our ongoing expansion and growth. We offer same-day shipping on over 37,500 products in our 812-page catalog and on our state-of-the-art e-commerce website.

Uline provides the essential supplies needed to keep organizations operational and productive. To protect the health and safety of our employees, we have modified our normal operating policies in response to COVID-19.

Each resume submitted gets individually reviewed by our team and retained for 24 months in case a great opportunity opens for you to join our Uline family.

Unfortunately, Uline is unable to offer US work sponsorship at this time.

EEO/AA Employer/Vet/Disabled

#LI-SN1
#ZR
#CORP",3.6,"Uline
3.6","Waukegan, IL",,5001 to 10000 Employees,1980,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,
eCommerce Software Developer - Javascript + PHP,,"Greetings! Looking for a small team with a startup culture where you're more than a cog in the corporate wheel? You've found us! Learn more about our unique innovation engine at spindle360.com. Spindle 360 is accelerating the growth of transformative technologies. We specialize in turning high potential ideas into products and helping them take flight.

We have an exciting direct hire Senior eCommerce Developer (PHP, Python, Javascript, Full Stack) opportunity located in Georgetown, Texas. You won’t miss the large city traffic or the bureaucracy found in large companies, yet we are just 14 miles from Austin. We offer a small team atmosphere that is like no other. We have 5 people in our building and 800 square feet per team member, so social distancing is easy.

You have found a genuine opportunity for one eCommerce Software Developer with a focus on Javascript , PHP (some Python) eCommerce Architecture who is seeking a long-term, on-site position with a 3 person software team of motivated people.

We are building next-generation enterprise-level eCommerce applications. Spindle 360 is taking eCommerce best practices, WebGL 3D and new AI research and creating leading-edge eCommerce sites.
Basic Requirements: *
3+ years building web applications with Javascript, PHP or Python

Minimum 2 years JS development experience

Strong object-oriented programming

Experience with modern CSS3

Strong mySQL-based database knowledge

Firm grasp of Git-based source control

Solutions-oriented thinking; always looking for the smart solution to a problem rather than jumping at the first answer

A passion for staying on top of industry trends and technologies
Proven Skills & Technical Requirements: *
Competent knowledge of e-commerce data organization and relationships

Competent in authoring JavaScript

Proficiency with database schema design

A desire to be personally responsible for production-level code
Bonus Qualifications: *
Strong experience in transactional Enterprise level eCommerce

Experience in multi-store e-commerce implementations

Experience with Django, Vue and/or React

Experience with GraphQL
Who will love it here*
Your ideas are unconventional, fresh, and smart. You have a hands-on get it done attitude and never hesitate to roll up your sleeves in an instant to show a team member how it’s done. Our team members are hand-picked. They are not looking for their next job. They are specifically wanting a smaller company where they are not just a number. They are looking to get away from the big corporate world and the traffic.
FAQ*
Do you have a full pipeline of work and projects? Yes, eight projects or more

Do you have stability? Yes, nearly 8 years in business

How big is the software team? 3 people

How big is the company? 9 people, 4-5 in this location

Where is the office? Beautiful downtown Georgetown, TX

What is your building like? Industrial warehouse style, nicely finished out building from the late 1800s.

What’s the pay? Depends on experience and capability.

Is there medical insurance? Yes

Is there paid vacation? Yes

How about traffic? What’s that? Not here!

Job Type: Full-time

Pay: $75,000.00 - $100,000.00 per year

Experience:
eCommerce Development: 2 years (Preferred)
PHP: 2 years (Required)
JavaScript: 2 years (Required)
Python: 2 years (Preferred)
Additional Compensation:
Bonuses
Work Location:
One location
Benefits:
Health insurance
Dental insurance",2.2,"Spindle 360
2.2","Georgetown, TX",,1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),
Web Design Instructor,,"Job/Title: Web Design Instructor

Status: Full-time

The Modern College of Design is seeking an Web Design Instructor eager to work at an award-winning college. The Modern has been selected as a Top Design School nine years in a row by Graphic Design USA Magazine, and alumni of the college are leaders in the design industry. The college was honored in 2018 as Business of the Year and Woman-Owned Business of the Year by the Dayton Business Journal following several initiatives, including a $6M capital expansion and a successful rebrand of the institution. Recognized for its strong career placement rate, The Modern offers both an Associate’s Degree Program and a Bachelor’s Degree Completion Program. The campus provides staff and students with a creative, contemporary space in a popular southwest Ohio suburb that is close to art, music, and sports venues.

General Summary

Provide the expertise and knowledge that support the college curriculum. Develop courses following accepted higher education standards, teach students using a variety of effective methodologies and provide engagement and support activities that encourage student learning. The role of the instructor encompasses teaching and learning, academic advising, professional development and institutional service.

As a design instructor, employee reports directly to the school Chief Academic Officer.

The Web Instructor will:
Maintain a high level of integrity and ethics
Ensure that both the curriculum and their skills evolve to keep up with trends and expectations of the design industry
Ensure all activities are carried out within the rules and guidelines of The Modern.
Principal Duties and Responsibilities
Web Instructor*
Will teach each semester in area(s) of competency and participate as an instructor in the activities of the department and college.
a. Demonstrate skill and/or knowledge in teaching discipline.

b. Make continuous efforts to improve the quality of instruction by reviewing and utilizing innovative methodologies, techniques, and delivery methods.

c. Plan, develop, and use a variety of teaching methods and materials that assist students in meeting course objectives and which are appropriate for students with differing educational and experiential backgrounds and learning styles.

d. Evaluate students to measure their progress toward achievement of stated course objectives and inform them of their progress in the course in a timely manner.

e. Teach students using a variety of effective methodologies and support activities that encourages student success. The role of the faculty encompasses teaching and learning, academic advising, professional development and institutional service.

f. Assist admissions department by greeting prospective students and families and participating in admissions events.

g. Maintain professional relationships with students, colleagues, and the community.

h. Establish annual objectives for professional growth in consultation with the Chief Academic Officer.

i. Learn and apply technologies that support student learning and keep pace with developments in the discipline.

j. Participate in the evaluation process for self, department, and college.

k. Attend Faculty Orientation, All- Staff meetings, and faculty trainings held at The Modern.

l. Make recommendations for learning resources and equipment.

m. Meet professional development goals of The Modern.

Knowledge, Skills, Abilities, and Attributes
High integrity and ethics
Strong HTML, CSS, and JavaScript skills
Higher education best practices
Teaching and curriculum development
Evaluating students
Minimum Qualifications: Associate’s Degree or higher in Web Design/ Web Development or a related field. Additional requirements driven by state licensing or accreditation considerations apply, four years of experience in the design field, a current portfolio and work samples, must have current knowledge, and experience in Adobe Creative Cloud applications, which includes Adobe Photoshop, Adobe Illustrator, Sketch, and Invision, must have the expertise, experience and knowledge in applications that support college teaching and curriculum design based on higher education standards, and excellent interpersonal skills and the ability to communicate effectively with a diverse professional, community, and student population.
Job descriptions are not intended, and should not be construed, to be an exhaustive list of all responsibilities, skills, efforts, or working conditions associated with this job; the job description is intended to be an accurate reflection of those principal job elements for making fair pay decisions about jobs.

Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Disability Insurance
Health Insurance
Life Insurance
Paid Time Off
Professional Development Assistance
Retirement Plan
Tuition Reimbursement
Schedule:
Day Shift
Monday to Friday
Experience:
Design: 4 years (Preferred)
Education:
Bachelor's (Preferred)
Company's website:
themodern.edu
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",1.2,"The Modern College of Design
1.2","Dayton, OH",,1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),
Software Development Lead - NxStage,,"Job ID 20000ELZ

Available Openings 1

Position Specific Information
We are leveraging virtual technology to engage with you and keep us all safe while you explore a career with us. We will conduct all interviews virtually, to
allow us to still connect about this job and proceed with our hiring
process while practicing social distancing.

NxStage Medical, a Fresenius Company is on a mission to transform renal care. To do that, we continually seek the best-of-the-best to expand and improve our team of dedicated, innovative professionals.

PURPOSE AND SCOPE:

The Software Development Lead will be responsible for leading highly technical software development projects relating to current and/or future NxStage products. This person must have prior experience managing projects involving application software using a structured product development process in a regulated environment.

PRINCIPAL DUTIES AND RESPONSIBILITIES:

Oversee the activities of a 3-5 person team on a daily basis
Quickly develop a system-level understanding of complex electromechanical systems
Refine / complete software requirements; collaborate with systems, electrical, and mechanical engineering teams to ensure that requirements reflect design intent
Assist team in refining system architecture based on assessment of progress / challenges to-date
Refine / complete software development plans to meet overall program schedule objectives
Assist, hands-on, with coding tasks, as able / appropriate
Participate in peer code reviews, use-case testing, debug, etc.
Lead / participate in formal stage-gate design reviews
Collaborate with SQA team to develop V&V test plans / protocols, etc.
Ensure adherence to and compliance with organizational policies, guidelines, and objectives
Prior experience in a Software functional and/or technical project leadership role required
Must be knowledgeable / experienced in all aspects of applicable medical device software development standards and processes
Primary programming experience should be applications, web development, mobile apps and databases
Strong diagnostic & problem-solving skills desired, including root cause analysis and troubleshooting
Familiarity with source control, version management, and configuration management practices desired
Able to communicate effectively both verbally and in writing
Experience maintaining the confidentiality of sensitive information
Excellent people management and collaboration skills required

Additional responsibilities may include focus on one or more departments or locations. See applicable addendum for department or location specific functions.

PHYSICAL DEMANDS AND WORKING CONDITIONS:
The physical demands and work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
EDUCATION:
BS in Computer Science with a focus on software design and programming

EXPERIENCE AND REQUIRED SKILLS:
10+ years of experience in software product engineering and development
5+ years of software leadership experience
Experience in all phases of the software development lifecycle
C#, Javascript / jQuery, HTML, CSS and ASPX Language Skills
Experience in Web GUI design using ASPX and multi-tiered business logic
Outstanding verbal and written communication skills
Experience with Microsoft Development Tools
Conduct code reviews, create and maintain requirements and specification documents
Create and execute unit tests as part of software validation efforts
Strong knowledge of project lifecycles, software development environments, and source control techniques
EO/AA Employer: Minorities/Females/Veterans/Disability/Sexual Orientation/Gender Identity

Fresenius Medical Care North America maintains a drug-free workplace in accordance with applicable federal and state laws.",3.4,"FRESENIUS
3.4","Lawrence, MA",,10000+ Employees,,Company - Public,Health Care Products Manufacturing,Manufacturing,Less than $1 million (USD),
Backend API Developer,,"Our guiding principle at Limble is to make an impact by helping our customers be awesome or as we like to call it a Customer Badass.

Our customers are the unsung heroes of the world AKA maintenance professionals without whom the world would simply stop. These heroes need world class tools to tackle the ever expanding maintenance challenges of the 21st century.

If you are driven to create amazing code, solve interesting puzzles, and want to work with an amazing team that does all but the impossible, then we want to talk to you.

If being passionate about coding, loving incredibly difficult challenges, or working with a rockstar team isn't your thing, then don't apply.

At Limble, we value our amazing culture over any skill that someone can offer. Jerks need not apply. This is an amazing place to work and we are going to keep it like that.

As a Backend Developer at Limble, you will work closely with the Product and Customer Success teams to help bring to life our customer’s unique requests and workflows. This includes writing integrations as needed by our customers into many different kinds of systems and APIs, including but not limited to SAP, Netsuite, Microsoft Dynamics.

What You'll Do
Work with the Product and Customer Success team to identify and scope out new integration opportunities.
Work with SAP/Netsuite and other ERP softwares to develop integrations into Limble.
Write clean, scalable code using NodeJS/SQL.
Maintain, update, refactor and debug code.
Integrate Limble’s API with other systems (SAP/Netsuite/Dynamics and etc).
Work with RESTful APIs, and IOT devices.
Required Skills - What We're Looking For
A passion for writing excellent code.
Attention to detail & quality.
Strong understanding of API design.
Strong understanding of different API standards (SOAP, REST, etc)
Fast learner that’s addicted to programming who after hours programs their own projects, reads programming blogs, etc. because programing is \*\*\*\*\*\*\* awesome and you can’t get enough.
Self-starter with a high degree of motivation, ability to adapt in a fast paced environment, able to organize, multi-task and prioritize workload to meet deadlines.
Strong track record of building, optimizing and scaling web applications based on feedback from customers and internal teams.
Passionate about working with a small close knit team of rockstars that are competing with large competition yet beating them on a daily basis.
2+ years of working with NodeJS frameworks (fastify/express/etc).
Strong experience with data interchange formats (JSON, XML, etc)
2+ years of experience working with relational databases.
Experience merging multiple different datasets into one coherent database.
Experience with Git.
Strong understanding of cloud-based/web technologies.
Strong communication and troubleshooting skills.
Additional Skills – Nice to Have
4+ years of recent experience developing B2B web apps.
4+ years in the SaaS industry.
SAP S4/HANA / Business One Integration Experience
Netsuite Integration Experience
PHP experience.
Perks
Opportunity to shape the Integration department and strategy for a company having a global impact
Health Benefits
Dental Benefits
Remote options
401k
Vision
Job Type: Full-time

Pay: Up to $125,000.00 per year

Benefits:
401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Parental leave
Professional development assistance
Retirement plan
Schedule:
Monday to Friday
Experience:
Web Development: 4 years (Required)
SaaS Industry: 4 years (Preferred)
Git: 2 years (Required)
JavaScript: 2 years (Required)
Education:
Bachelor's (Preferred)
Work authorization:
United States (Required)
Work Location:
One location
Company's website:
https://limblecmms.com
Work Remotely:
Temporarily due to COVID-19",5.0,"Limble Solutions LLC
5.0","Lehi, UT",,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,
Mid Level Developer,,"UNCOMN is an award-winning firm, one of the country’s fastest-growing and—more importantly—a consistent ‘Top Workplace’ as evaluated by our own employees. We are a values-driven organization (see the Core Values section of our web site) looking for new Uncommon Geniuses to join our growing team. If you are an engineer, architect, analyst, hacker, and/or geek who likes to solve problems, fix things, build things, tweak things, or otherwise show creative flair, you might just be an ""UNCOMN Genius.""

Our mission is to empower systems thinkers to create elegant solutions to complex problems – to improve the systems that improve our communities. Our team members apply their natural curiosity and grit to discover elegant solutions for our clients’ most complex organizational, logistics, process, data, and technical challenges, with the overall goal of building great businesses that contribute to great communities.
UNCOMN is seeking a Mid-Level Developer to: *
·Support software development tasks in Windows and Web development environments.
·Provide programming support and develop error free application code.
·Troubleshoot technical issues, including error messages, bugs with the software, and availability.
·Maintain and sustain software, tools, applications, servers, interfaces and databases for web-based applications.
·Develop and document novel functions, implement libraries, frameworks and best practices; resolving errors and security vulnerabilities; tracking and applying updates.
This job will have a rotating shift, requiring some overnights.*
Requirements*
·Bachelor’s Degree (May be substituted for 4 years’ experience) or Associates (May be substituted for 2 years’ experience)
·Experience and working knowledge of HTML, CSS, ASP.NET, C#, SOAP, Javascript, WCF, ASMX, SQL is desired.
·Team development skills required
·Windows System Administration
·SQL Database Administration
·Configuration Management
·Programming experience
·Hardware maintenance support for vendor specific servers, raid configuration, connectivity or the switch, and component troubleshooting, repair, and replacement software maintenance installation and support of Windows servers, Linux servers hosting VM Ware, VM setup and support, Internet Information Server setup and configuration, server cluster setup and configuration, server updates to current patch level, hardening system to IA standards.
·Knowledge of full software development life cycle (SDLC), agile development methods and DevOps processes.
·Demonstrated track record of success at IT projects that meet business requirements and customer expectations.
·4 total years of experience
·Certifications: IAWIP Level, IAT Level II (Security + or equivalent)
·Active U.S. Government Secret security clearance (U.S. citizenship is a prerequisite)*
\*All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, or national origin.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
We are allowing virtual interviews instead of in person interviews.

Education:
Associate (Required)
Security Clearance Required:
Secret (Required)
This Job Is:
A job for which military experienced candidates are encouraged to apply
Company's website:
https://secure4.saashr.com/ta/6161386.careers?ApplyToJob=335846597
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
No",5.0,"UNCOMN
5.0","Scott AFB, IL",,51 to 200 Employees,2010,Company - Private,Consulting,Business Services,$25 to $50 million (USD),
