Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Per Hour,min_salary,max_salary,avr_salary,javascript,html,css,react,angular,git,node,php,mysql,j2ee,net,new,Remote,State,age
Skokie JavaScript Tutor Jobs,$11-$28 Per Hour(Glassdoor est.),"#Skokie JavaScript Tutor Jobs

Varsity Tutors has students in #Skokie looking for JavaScript tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge in Spanish, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:

In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)
On-Demand tutoring (no need to schedule sessions ahead of time - simply take on opportunities as they arise.) Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

What do we look for in a tutor?

Excellent communication skills and a friendly personality
Academic background in subject areas you wish to tutor
Ability to personalize lessons for each student",4.1,"Varsity Tutors
4.1","Skokie, IL",,201 to 500 Employees,2007.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,1,11,28,19.5,1,0,0,0,0,0,0,0,1,0,0,Varsity Tutors,0,IL,13.0
Evanston JavaScript Tutor Jobs,$11-$28 Per Hour(Glassdoor est.),"#Evanston JavaScript Tutor Jobs

Varsity Tutors has students in #Evanston looking for JavaScript tutoring. Varsity Tutors is a live learning platform that connects tutors with students to provide personalized learning. In addition to having knowledge in Spanish, clients also look for tutors who are friendly, articulate, and reliable. Working as a tutor on the Varsity Tutors platform includes several benefits, such as the flexibility to schedule your own sessions and to choose your own hours. We put forth great effort to match tutors to students, resulting in productive learning experiences. Tutors working with Varsity Tutors are paid twice a week and choose their own tutoring load. There are multiple ways for tutors to earn while tutoring on the Varsity Tutors platform:

In-Person tutoring
Online tutoring (you can use the Varsity Tutors online tutoring platform to tutor anywhere and at anytime)
On-Demand tutoring (no need to schedule sessions ahead of time - simply take on opportunities as they arise.) Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

Tutors are independent contractors and have the freedom to use their own teaching styles and methods.

What do we look for in a tutor?

Excellent communication skills and a friendly personality
Academic background in subject areas you wish to tutor
Ability to personalize lessons for each student",4.1,"Varsity Tutors
4.1","Evanston, IL",,201 to 500 Employees,2007.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,1,11,28,19.5,1,0,0,0,0,0,0,0,1,0,0,Varsity Tutors,0,IL,13.0
QuickBase App Developer,$11-$28 Per Hour(Glassdoor est.),"ZTERS is a site services management company based out of Houston, Texas focused on providing the highest level of service in the industry. We opened our doors in 2009 and have been growing ever since. Because of that growth, and our ever expanding QuickBase ecosystem, we need experienced QuickBase application developers to help us continue to thrive.

ZTERS has been voted as a Top Workplace in the Houston area by our employees and is a two-time Inc. 5000 fastest growing private company recipient.
Overview: *
ZTERS mission is to provide the most inclusive set of site services (roll-off dumpsters, portable toilets, temporary fencing, mobile offices, and more) for our customers in one spot. Since 2013, we have managed all our operations in QuickBase and have largely connected our other systems via API integrations. QuickBase is at the heart of our company. We are looking for someone who can help expand and improve our ecosystem and drive a better experience for our customers and employees.
Role Description: *
• Strong business acumen, problem solving, and requirements gathering skills.

• Configure, enhance, and administer a variety of QuickBase applications.

• Thorough understanding of database design and data normalization concepts.

• Develop custom forms, pages, and work-flow designs.

• Competent QuickBase API, interface, and formula writing skills.

• Draft, review, and maintain technical documentation and designs.

• Build reports and dashboards for end-users and management.
Job Requirements: *
• B.S. or Associates degree in software engineering, computer science, or related experience
• QuickBase Development and administration, 3 years (Required)
• At least 3 years of software and database design.
• At least 3 years of experience in web based technologies (HTML/JavaScript)
• Accuracy and attention to detail
• Excellent verbal and written communication skills
ZTERS Benefits: *
Medical and dental
401k retirement plan
Performance bonuses
Convenient Cypress location
New office building coming soon!
Monthly events and fun
Commitment to work-life balance
A culture of making a difference
Job Type: Full-time

Pay: $75,000.00 - $85,000.00 per year

Benefits:
401(k) matching
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
Working remotely through end of year, but will be in-office when conditions allow.

Education:
Associate (Required)
Experience:
HTML/JavaScript: 3 years (Preferred)
QuickBase Development and Administration: 3 years (Required)
Work Location:
One location
Company's website:
https://www.zters.com/
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",,Zters Waste Value,"Cypress, TX",,,,,,,,,1,11,28,19.5,1,1,0,0,0,0,0,0,1,0,0,Zters Waste V,0,TX,
Senior Software Developer,$11-$28 Per Hour(Glassdoor est.),"Join us as we revolutionize online school management! BocaVox is the team that built the first student information system for online schools. We are a growing company in a growth industry. With the onset of Covid-19, online education is changing the way people learn & schools operate. With Maestro SIS, schools and administrations can seamlessly orchestrate all of the moving pieces of their increasingly complex online infrastructure. We have seen unprecedented interest from customers & are eager to bring on a rock star who can help us revolutionize the way schools operate to help make online learning more intuitive for students, in this new & rapidly changing era.
To apply, you MUST have the following: *
10 years experience developing complex software products
Advanced knowledge of programming languages & tools: C#, SQL, Javascript, Azure GitHub.
Well versed in SCRUM
Strong interpersonal and communication skills, including written, oral and presentation skills
Excellent organizational skills
Curious to learn new things, humble enough to defer to your team or acknowledge when you dont know the answer
Knowledge of or experience with large data-heavy systems (especially in education) is a plus
Must reside within 20 miles of Weston, FL or be willing to relocate.
Must have stable work history. Frequent job changers need not apply.
Must be a team player who appreciates our great culture.
Responsibilities: *
Become an expert user of Maestro SIS
Work with the CTO, Lead Architect, and development to design & implement system enhancements to the front & back end
Collaborate with BocaVox sales, support and development teams to achieve the companys goals of providing a mature product that is scalable and customizable to each client institution. Explore, leverage & introduce best practices to the dev teams that are most relevant for K12 and higher education.
Deploy flawless releases for customers. Work with team to build implementation plans/process and roadmaps for integrations, factoring in custom requirements, resources, and costs.
Provide assurance that 100% readiness has been achieved prior to all ""go live"" dates, and ongoing progress reports to both BocaVox teams & their customers
Full time employment and benefits package including: *
Excellent health plan
Life Insurance
401K
Cafeteria benefit options
3 weeks PTO plus National holidays
A work environment for continuous learning
Job Type: Full-time

Benefits:
401(k)
Health insurance
Life insurance
Paid time off
Schedule:
Monday to Friday
Experience:
Software Development: 5 years (Required)
Application Question:
Which coding languages are you most familiar with?
Work Location:
One location
Company's website:
https://bocavox.com
Work Remotely:
Temporarily due to COVID-19",5.0,"BocaVox, LLC
5.0","Fort Lauderdale, FL",,1 to 50 Employees,,Company - Private,Accounting,Accounting & Legal,$1 to $5 million (USD),,1,11,28,19.5,1,0,0,0,0,1,0,0,1,0,0,"BocaVox, LLC",0,FL,
Mid Level Full Stack Engineer,$11-$28 Per Hour(Glassdoor est.),"PLEASE APPLY TO THE POSITION HERE: https://www.bluestaq.com/opportunities/software-engineer

Bluestaq starts with our people.
Are you ready for the best job you've ever had? At Bluestaq, we've rapidly built a culture around community, constant innovation, and customer commitment. Bluestaq is dedicated to cultivating a growth environment where our team feels valued, works with a sense of mission, is personally rewarded, and professionally challenged.
Bluestaq is an emerging technology company, founded in 2018 to streamline global operations using cutting-edge enterprise software and mission analytics. Bluestaq develops and transforms its enterprise systems and secures disparate data to solve our customers' most critical challenges. Today, Bluestaq primarily provides the U.S. Department of Defense and the nation's intelligence community with advanced software systems. Our name, Bluestaq, originates from ""blue"" a military term for friendly forces and ""staq"" referring to a software stack.
Bluestaq was recently recognized by the Colorado Technology Association as the 2019 Emerging Tech Company of the Year, named Colorado Springs Chamber of Commerce and EDC 2019 New Company of the Year, recognized as a 2019 Best Workplaces in Colorado Springs by the Colorado Springs Gazette, and acknowledged on three 2020 Built In Colorado’s Best Places to Work Lists:
#21 Best Places to Work in Colorado,
#5 Best Small Companies to Work for in Colorado,
#4 Best Paying Companies in Colorado.
Looking for an amazing quality of life? In 2019, Colorado Springs scored a “Perfect 10” for “desirability” by US News & World Report.
Why join Bluestaq in Colorado Springs?
Cost of living - below the national average
Lifestyle Amenities – coffee shops, craft breweries, boutiques, locally-owned restaurants
Nature – more than 100 parks and ample outdoor sporting opportunities
Weather – Colorado Springs boasts over 300 days of sunshine a year
Laidback atmosphere – an accessible alternative to the faced-paced Denver lifestyle
Bluestaq is located in the heart of Downtown Colorado Springs. Our street level, headquarters location aligns with the Bluestaq brand identity and company culture. Bluestaq believes the Downtown location embodies an innovative, dynamic, industrious, and collaborative brand identity. The flexibility of working in a dynamic community with access to food, entertainment, retail, and other businesses, and increasing cultural amenities allows our team to handle personal errands, exercise and unwind within walking and biking distance of our headquarters.
PLEASE APPLY TO THE POSITION HERE: https://www.bluestaq.com/opportunities/software-engineer

Who we’re looking for..
Bluestaq is looking for a self-starting, ambitious, results-oriented team member who is not afraid to question assumptions or learn a new skill or technology on the job to solve a problem. The right candidate has excellent written and oral skills with several years of experience developing Java-based enterprise system. Our full-stack engineers are familiar with many data storage solutions, their characteristics, benefits, and when to use them. In a Software Engineering position at Bluestaq, you will have the opportunity to collaborate with all levels from developers to government officials and operational analysts to design advanced software systems.
As a Bluestaq Full Stack Engineer, you will be designing and implementing enterprise software systems that empower our customers to optimize their data-driven cultures. Bluestaq is not locked into a technology stack. You’ll work with a wide variety of technologies, including JavaScript, Python, Postgres, Elasticsearch, Jenkins, Amazon Web Services, Mongo, Athena, and Hadoop. And we’re focused on doing - we keep meetings to a minimum.

PLEASE APPLY TO THE POSITION HERE: https://www.bluestaq.com/opportunities/software-engineer

Desired Qualifications
5+ years of Software Development experience.
Strong development skills in Java, with demonstrated architect-level experience.
History of implementing enterprise solutions with strict availability, concurrency, and low latency requirements.
Experience with Java build systems (Maven, Gradle)
Proficiency with scripting languages (Python, JavaScript, Typescript, Bash, etc.)
Knowledge of applied security concepts (authentication, authorization, protocols)
Strong understanding of both front-end and back-end technologies.
Comfortable with multi-threading, event-based software architectures, queue technologies (e.g., Kafka) and asynchronous event handling.
Significant hands-on experience and fluency in data storage solutions (RDS, Document stores, graph store, Hadoop) and an understanding of when to use them.
Familiarity with cloud-based concepts and the AWS component stack.
DoD Security+ or CISSP training certification
Education: BS in Computer Science, Mathematics, or EE, or relevant industry experience is required.

PLEASE APPLY TO THE POSITION HERE: https://www.bluestaq.com/opportunities/software-engineer

This position requires the ability to obtain a TS/SCI Clearance. To be eligible for a clearance, US Citizenship is required, and an employee must agree to participate in a background screen and credit check, provide their Social Security number and allow the investigating government entity to access their tax records. If the clearance process requires a polygraph or drug test, an employee must agree to participate in these required steps.
Bluestaq is proud to be an Equal Opportunity/Affirmative Action Employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants regardless of age, gender, race and religion, disabilities, or protected veteran status.",5.0,"Bluestaq
5.0","Colorado Springs, CO",,1 to 50 Employees,2018.0,Unknown,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,,1,11,28,19.5,1,0,0,0,0,0,0,0,1,0,0,Bluestaq,0,CO,2.0
Frontend Web Developer,$11-$28 Per Hour(Glassdoor est.),"Join a highly engaged and supportive team of developers who will not only challenge you to grow, but actively leverage your expertise on how to blow our clients expectations out of the water. Whether it be creating an engaging interactive experience, well optimized landing page, thoughtfully refactoring code, improving accessibility or developing a custom web application you will have a direct impact on what we create and its ultimate success. The variety of projects and challenges our clients bring will provide you with opportunities to try new things and round out your skillset. We embrace the fast paced changes in the frontend space and innovate on our past experiences to continually evolve as a team. Crescendo earns the trust of our clients and team by blending our midwestern values, high intensity work ethics and digital innovation.

*Working with us, you will ... *

- Take PSDs from design team to develop from
- Create and maintain npm, node, gulp and webpack builds
- Write JavaScript in both ES5 & ES6 standards following project design patterns
- Work in SASS, Less or CSS following design patterns ( typically BEM )
- Use both Git & Mercurial VCS and related branching model workflows
- Create new templates in Magnolia or another content management system
- Learn from and teach others on the team
- Have direct client communication
- Start projects from scratch and help us maintain existing projects
- Build accessible high performance websites
- Work with popular frameworks like foundation, bootstrap, React, Angular
- Work on projects using minimal or no frameworks at all

You Bring:

- 3+ years direct frontend experience
- Ability to communicate clearly and concisely with clients, our sales team, designers and developers
- Ability to work on multiple projects
- A desire to lead people and technology choices
- A sense of urgency

You Get:

- Competitive salary
- Full benefits
- SIMPLE IRA matching (3%)
- Generous PTO
- Paid holidays
- Autonomy and satisfaction working for the most innovative digital agency in the Midwest",3.1,"Crescendo Collective
3.1","Milwaukee, WI",,1 to 50 Employees,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),,1,11,28,19.5,1,0,1,1,1,1,1,0,1,0,0,Crescendo Collective,0,WI,6.0
Software Engineer,$11-$28 Per Hour(Glassdoor est.),"STORIS is the leading provider of integrated retail Unified Commerce solutions for the furniture, bedding, and appliance industries. We are currently seeking a TypeScript or JavaScript engineer who is proficient with React and Node.js for its next generation software initiative. Your primary focus will be on converting the existing ERP software stack to a microservices backend with a React web application front end to be used on a range of devices. You will be working in a team environment and focused on delivering robust solutions to solve our rapidly evolving customers’ needs. High quality output in terms of product usability, code maintainability, and minimal defects is critical.

Responsibilities
Developing new user-facing features using React
Consuming a GraphQL API using Apollo GraphQL Client
Building reusable components and front-end libraries for multiple applications
Translating business requirements, designs, and wireframes into high quality code
Optimizing components for maximum performance across a vast array of web-capable devices and browsers
Developing new backend features using the Moleculer microservices framework and GraphQL
Translating existing Unibasic backend code to TypeScript microservices
Skills
Prerequisites
5+ years of professional JavaScript or TypeScript experience with an understanding of the newer specifications of ECMAScript (ES2020)
2+ years of professional React experience with a thorough understanding of its core principles
2+ years of professional experience with server-side JavaScript or TypeScript (Node.js)
Familiarity with using git for code versioning
Working knowledge of developing for MongoDB using Mongoose ODM
Familiarity with modern front-end build pipelines and tools
Experience with common front-end development tools such as Babel, Webpack, NPM, etc.
Ability to understand business requirements and translate them into technical requirements
Experience with writing unit tests and test automation
Preferred
Candidates should have knowledge or demonstrate the ability to quickly gain the following skills:
Strong ability to code using TypeScript
Ability to implement server side GraphQL schemas using DataLoader for optimization and consume them in a web application
Ability to work with Material-UI (React UI Framework) and its API
Understanding of microservices architectural patterns and the Moleculer framework
Familiarity with Redis and caching
Basic knowledge of multivalue databases and Unibasic development (Unidata or Universe)
Working with preferred test tools (Jest and Testing-library)
Working with code formatting tools (Eslint and Prettier)
Ability to use project management tools and keep tasks up to date (Jira / Confluence)
If you are looking for an incredible place to work that celebrates innovation, leadership, and creativity, please contact us. STORIS offers competitive compensation and excellent benefits.
We are an Equal Opportunity Employer and value diversity at our company. We do not discriminate on the basis of race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
Thank you for your interest in STORIS!",5.0,"STORIS
5.0","Mount Arlington, NJ",,51 to 200 Employees,1989.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,1,11,28,19.5,1,0,0,1,0,1,1,0,1,0,0,STORIS,0,NJ,31.0
Dev/Ops Platform Developer III,$11-$28 Per Hour(Glassdoor est.),"Main Objective: Responsible for the development, maintenance and optimization of the software development environment and infrastructure, build, integration and software deployment process.

Essential Duties and Responsibilities:

Guide Enterprise Integration team on DevOps best practices, patterns, and vision for application platform automation.

Researches, assesses, and implements new technologies for use within infrastructure and automation processes.

Works closely with the Enterprise Integration Manager and reports on the current roadmap and upcoming changes needed for the integration platforms.

Develops and manages application infrastructure for multiple integration platforms. (ex. user account management, runtime plane, capacity planning)

Manage code repository and pull request approval.

Assist with automating of regression and unit testing.

Works closely with integration developers to ensure that operations are aligned with design/development process.

Monitors integration applications for abnormalities and proposes areas for improvements.

Works closely with development team members to makes sure that business goals are met. This includes both platform and development work as required.

Respond to any critical infrastructure related events if an issue is escalated.

Works effectively with members from different departments during all stages of integration development lifecycle.

Conducts operations-related training.

Works closely with GIS Security and Infrastructure teams to ensure integration platforms and infrastructure complies with corporate policies and aligns with global business needs.

Initiates and produces technology documentation and standard operating procedures.

Collaborate with DevOps engineers from other departments and organizations.

Assist with production support tickets as relate to technical issues.

Incidental Duties:

The above statements describe the general nature and level of work being performed in this job. They are not intended to be an exhaustive list of all duties, and indeed additional responsibilities may be assigned, as required, by management.

Education and Experience:

Bachelor’s degree required preferred in Computer Science or related field.

5 years of experience working alongside a software development team with knowledge of the entire software development lifecycle required.

Experience supporting Integration Platforms. (ex. MuleSoft Anypoint Platform, AWS managed APIs…) preferred .

Experience provisioning and managing cloud services. Amazon’s web services experience strongly preferred.

Experience with automated build tools and pipelines (Azure DevOps, Jenkins, Artifactory, etc.) required

Experience with logging, performance monitoring and performance tuning tools (ex. Splunk, Elastic, Dynatrace)

Knowledge of container virtualization such as Docker/Kubernetes.

Experience with distributed version control systems such as git preferred.

Experience with scripting languages such as Python and JavaScript/node.js

Experience in languages and formats (ex. Java, JSON, XML)

Knowledge and Skill Requirements/Specialized Courses and/or Training:

Solid understanding of development/coding methodologies.

Knowledge of high-availability concepts and experience with deployment of high-availability applications.

Ability to work effectively with little supervision and strong attention to detail in a team environment.

Requires the ability to work on multiple projects at the same time.

Individual must be highly motivated and self-directed.

Excellent written and verbal communication skills.

Machine, Tools, and/or Equipment Skills:

Experience working with code editors, team collaboration software. Individual must feel comfortable using the command line.

All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status.

Nearest Major Market: Naples",3.0,"Arthrex
3.0","Naples, FL",,Unknown,,Company - Public,,,Less than $1 million (USD),,1,11,28,19.5,1,0,0,0,0,1,1,0,1,0,0,Arthrex,0,FL,
Software Engineer,$11-$28 Per Hour(Glassdoor est.),"Valens Software is a developer of enterprise services software for the Fire and Life Safety industry.

We are looking for developers who want to make a career on futuristic technology, software development, implementing software solutions, developing apps.

New college graduates are welcome to apply. We have multiple openings at the Woodstock Georgia (metro Atlanta) office and no prior work experience is required. We will provide on the job training after you are hired.

Primary Responsibilities

·
Develop software applications using JavaScript, and different frameworks associated with programming languages

·
Write queries to different databases so the application can manipulate the data accordingly

·
Generate reports and dashboards to meaningfully inform user on key information

·
Perform unit tests and do functional testing on what you develop

·
Participate in peer to peer code reviews, project planning, and estimation of tasks

·
Analyzing and resolving application or system problems

·
Write and implement efficient code based on requirements for tasks

Required Qualifications

·
Bachelor’s degree in Computer Science or Similar

·
Adaptable to decisions made quickly by peers

·
Collaborative and a great team player

·
Punctual to deadlines set by project owners when it comes to tasks

·
Previous knowledge of programming languages like Java, JavaScript, Progress, LUA, SQL (preferred but not required)

·
Previous knowledge of JasperReports (a bonus but not required)

·
Ability to learn quickly and talk about solutions to project owners

·
Transparent on issues happening through the development process

Benefits

·
Job Type: Full-time

·
Paid Time Off

·
401 K

·
Health Insurance

·
Dental insurance

·
Vision insurance

·
HAS

·
FSA

This Job Is:

·
A job for which military experienced candidates are encouraged to apply

·
A good job for someone just entering the workforce or returning to the workforce with limited experience

·
Not providing sponsorship for this job

Principles only. Recruiters please do not contact this job poster.
Do not contact us with unsolicited services or offer.",,Valens Software,"Woodstock, GA",,1 to 50 Employees,,Unknown,,,Less than $1 million (USD),,1,11,28,19.5,1,0,0,0,0,0,0,0,1,0,0,Valens Soft,0,GA,
Web Designer/Developer (Local Candidates Only),$11-$28 Per Hour(Glassdoor est.),"Web Designer / Developer (Local Candidates Only)
Immediate opening* for a motivated, focused individual that likes to work with a team and take lead on projects. The web designer will be responsible for being involved with client meetings, providing approach and UI/UX best practices as well as, leading the development of a new website. They will have to be capable of building out a website from start to finish within WordPress, HubSpot CMS, or similar CMS. This person must be a designer by trade but, understanding some code is a plus. They would develop a layout according to desired specifications, SEO standards, and work independently. Be capable to design the site, develop CSS, JS, JQuery, establish the layout structure, added enhancements, and be able to publish to completion. Attention to detail is a must and a keen creative eye necessary.
Our ideal qualified candidate must have *3-5 years of experience* in web design, web development, or web management. Must also possess qualities like leadership, independent thinking ability, a great attitude, and a strong work ethic. Must have exemplary knowledge of Adobe Creative Suite tools with an emphasis on web design as well as the ability to contribute on all digital projects from banner ads to the development of large websites. HTML5, CSS3, WordPress (and other CMS understanding), Javascript competencies are HUGE assets and preferred! If you possess a great sense of creativity and like to work in a fast-paced environment, please apply! *Send your cover letter, portfolio links or attachments, and resume.*
A bachelor’s degree in web design, web development, graphic design or equivalent in experience
Creative, imaginative, and action-oriented approach to all tasks
Work with project management software and processes
Be receptive to critiquing and input on development
Experience with responsive HTML/HTML5, CSS, JavaScript, jQuery, PHP, .NET
Great communication skills and UI design practices
Passion for design, UI and UX best practices
Experience with SEO standards to apply to websites
WordPress development experience
Knowledge of other CMS platforms a plus
Positive, enthusiastic, energetic, detail-oriented, and self-motivated
Ability to learn quickly and take ownership of tasks, process, and products
Ability to thrive in a fast-paced environment and adapt to shifting priorities
A collaborative spirit, working closely with both internal and external teams to efficiently achieve the best possible solutions for common goals
Job Type: Full-time

Benefits:
Dental insurance
Health insurance
Life insurance
Paid time off
Referral program
Vision insurance
Schedule:
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
COVID-19 considerations:
Interviewing would take place in person in a large room with a mask required.

Experience:
CSS: 1 year (Required)
HTML5: 1 year (Required)
Work Location:
One location
Work Remotely:
No",1.0,"PALO Creative
1.0","Youngstown, OH",,1 to 50 Employees,,Company - Private,,,Less than $1 million (USD),,1,11,28,19.5,1,1,1,0,0,1,0,1,1,0,1,PALO Creative,0,OH,
